rsquare,key,vr1x,vr2ax,vr2bx,v3ax,vr3bx,vr4ax,vr4bx,vr5x,vr6ax,vr6bx,vr6cx,vr7x,cons
0.963505268,792,-0.001323784,-0.061530054,0,0,-0.065382004,0.14695549,0.088552952,0,0,0.098430336,0.170310259,0.119225919,13.18863678
0.922791004,793,0.013684414,-0.052591622,0,0,-0.045558393,0.169187069,0.103103936,0,0,0.118163705,0.200459599,0,13.42140198
0.870884895,794,0.007773418,-0.067219555,0,0,-0.084550917,0.201996565,0.098863721,0,0,0.111205935,0,0.168737292,17.97167969
0.79309082,795,0.033250958,-0.05525586,0,0,-0.059616417,0.251532078,0.124220967,0,0,0.145203829,0,0,19.53248596
0.938205242,796,0.025119871,-0.053245723,0,0,-0.040437877,0.157975197,0.092341423,0,0,0,0.176085591,0.133949876,11.91668701
0.887194633,797,0.048539937,-0.041054606,0,0,-0.011845291,0.186219573,0.110031545,0,0,0,0.212252498,0,11.87225342
0.841651917,798,0.038164139,-0.058087349,0,0,-0.057031184,0.216805458,0.103648484,0,0,0,0,0.187511921,16.68237305
0.746646881,799,0.078279376,-0.041174412,0,0,-0.01869598,0.279419184,0.13470459,0,0,0,0,0,17.97392273
0.982766628,800,-0.00247331,-0.05320406,0,0,-0.042439371,0.183924198,0,-0.028034985,0.116256416,0.062329262,0.151848316,0.114002407,13.12786865
0.945868969,801,0.008921869,-0.04594925,0,0,-0.026233971,0.209381342,0,-0.013915174,0.13358593,0.072912633,0.176739097,0,13.19168854
0.910280704,802,0.003034024,-0.056324273,0,0,-0.055276275,0.227380991,0,-0.028538644,0.155131698,0.05940789,0,0.151465893,17.00085449
0.847468376,803,0.020335689,-0.046928912,0,0,-0.035530597,0.273564577,0,-0.008840591,0.188713431,0.07371372,0,0,17.92875671
0.973718643,804,0.010124147,-0.048283815,0,0,-0.028431311,0.18593514,0,-0.023797408,0.137954593,0,0.150977492,0.11867696,12.2546463
0.933888435,805,0.024315029,-0.039807558,0,0,-0.0089508,0.213005662,0,-0.008242272,0.160002708,0,0.176936984,0,12.16134644
0.902660847,806,0.015016615,-0.051624745,0,0,-0.041857868,0.229098082,0,-0.024499848,0.175634623,0,0,0.155743241,16.14135742
0.836494446,807,0.035923898,-0.040735304,0,0,-0.018074304,0.277400255,0,-0.003100649,0.215560079,0,0,0,16.88005066
0.951434135,808,0.004164282,-0.059063435,0,0,-0.052866787,0.212150931,0,-0.019568115,0,0.103089213,0.173290014,0.128387809,13.89031982
