rsquare,key,vr1x,vr2ax,vr2bx,v3ax,vr3bx,vr4ax,vr4bx,vr5x,vr6ax,vr6bx,vr6cx,vr7x,cons
0.883625507,2361,0,-0.03161183,-0.034612477,0,-0.013592705,0.200603962,0,0,0,0.119363546,0.238570213,0,14.18434906
0.831478596,2362,0,-0.041889191,-0.039304256,0,-0.045117438,0.245253205,0,0,0,0.120806932,0,0.187927127,17.69537354
0.712844849,2363,0,-0.026729465,-0.036991507,0,-0.008946784,0.319774389,0,0,0,0.176117063,0,0,19.42713928
0.904657364,2364,0,-0.031458646,-0.024506539,0,-0.020867869,0.186752319,0,0,0,0,0.20522511,0.142233133,13.31507874
0.835676193,2365,0,-0.017792597,-0.018243849,0,0.011337802,0.218930125,0,0,0,0,0.267720461,0,13.26054382
0.786077499,2366,0,-0.030100957,-0.023739114,0,-0.02578187,0.265904427,0,0,0,0,0,0.219154477,17.09399414
0.626056194,2367,0,-0.004177939,-0.01189252,0,0.03122291,0.374016523,0,0,0,0,0,0,18.75352478
0.948266506,2368,0,-0.038807511,-0.034154385,0,-0.022182867,0,0.135394931,-0.024333522,0.126738548,0.072869658,0.183034301,0.120839119,10.58239746
0.899011135,2369,0,-0.03172487,-0.033750981,0,-0.003038932,0,0.152134418,-0.008238897,0.143813252,0.089659631,0.226307154,0,10.08473206
0.852436066,2370,0,-0.040316314,-0.036833465,0,-0.026695609,0,0.176510572,-0.021112844,0.182994366,0.084449172,0,0.178006053,12.78675842
0.747900963,2371,0,-0.029291198,-0.03738144,0,0.003301501,0,0.221382737,0.006875072,0.234417677,0.117360115,0,0,12.65796661
0.931320667,2372,0,-0.033091217,-0.026440531,0,-0.012661591,0,0.136701703,-0.015724018,0.147702217,0,0.187918305,0.130240798,9.800971985
0.874356747,2373,0,-0.023881808,-0.02405639,0,0.010760203,0,0.155462623,0.004118122,0.171808004,0,0.236734629,0,9.041442871
0.831941605,2374,0,-0.03373155,-0.027956575,0,-0.015764415,0,0.179421306,-0.010999665,0.209271669,0,0,0.190843701,11.92156982
0.712542534,2375,0,-0.018767715,-0.024783179,0,0.02205953,0,0.230528593,0.024259642,0.277724028,0,0,0,11.34728241
0.899979591,2376,0,-0.041129887,-0.036431342,0,-0.025140062,0,0.150376797,-0.012083136,0,0.107824981,0.222810507,0.13678956,11.30168915
0.839424133,2377,0,-0.033362895,-0.036358207,0,-0.003539696,0,0.172176123,0.008376718,0,0.132742405,0.279151917,0,10.7982254
0.755277157,2378,0,-0.044730216,-0.041568547,0,-0.033120751,0,0.21559155,-0.000419724,0,0.144908547,0,0.224243999,14.558815
0.602621078,2379,0,-0.031734407,-0.04454419,0,0.005239878,0,0.294287682,0.045952797,0,0.214759231,0,0,14.72266388
0.862180233,2380,0,-0.032580584,-0.024654418,0,-0.010630161,0,0.156559229,0.005014163,0,0,0.241387844,0.156239748,10.21154785
0.784772873,2381,0,-0.021102697,-0.021382466,0,0.018864959,0,0.184237242,0.033888549,0,0,0.313414812,0,9.264678955
0.697172642,2382,0,-0.033434659,-0.02595821,0,-0.014014952,0,0.232488751,0.024668589,0,0,0,0.262168646,13.2956543
0.946053028,2384,0,-0.041067123,-0.036627501,0,-0.027720734,0,0.134674072,0,0.12388438,0.069528341,0.182497621,0.117336392,10.33992004
0.898765564,2385,0,-0.032575995,-0.03460899,0,-0.005142201,0,0.151719093,0,0.142658114,0.088338792,0.225690484,0,10.00572968
0.85093689,2386,0,-0.042275906,-0.038975209,0,-0.031492472,0,0.175788999,0,0.180382848,0.081523538,0,0.174829125,12.56878662
0.747757912,2387,0,-0.028571814,-0.036670119,0,0.00507991,0,0.221889138,0,0.235593319,0.118531048,0,0,12.73013306
0.930397511,2388,0,-0.034747779,-0.028297469,0,-0.016585961,0,0.13618958,0,0.145196795,0,0.187419772,0.127657533,9.665016174
0.874296188,2389,0,-0.023387715,-0.023544833,0,0.011939161,0,0.155699968,0,0.17260921,0,0.237128377,0,9.073974609
0.831537247,2390,0,-0.034890711,-0.029254287,0,-0.018506438,0,0.178986311,0,0.20740664,0,0,0.188925743,11.82180786
0.710804939,2391,0,-0.015783802,-0.021753728,0,0.029175371,0,0.232696652,0,0.283549309,0,0,0,11.56043243
